  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -5.000  -0.6033   0.00000  -0.00110   0.0070   0.0000   0.0000   0.0000   0.0000
  -4.500  -0.5431   0.00000  -0.00109   0.0063   0.0000   0.0000   0.0000   0.0000
  -4.000  -0.4829   0.00000  -0.00109   0.0056   0.0000   0.0000   0.0000   0.0000
  -3.500  -0.4226   0.00000  -0.00108   0.0049   0.0000   0.0000   0.0000   0.0000
  -3.000  -0.3623   0.00000  -0.00108   0.0042   0.0000   0.0000   0.0000   0.0000
  -2.500  -0.3019   0.00000  -0.00107   0.0035   0.0000   0.0000   0.0000   0.0000
  -2.000  -0.2416   0.00000  -0.00107   0.0028   0.0000   0.0000   0.0000   0.0000
  -1.500  -0.1812   0.00000  -0.00107   0.0021   0.0000   0.0000   0.0000   0.0000
  -1.000  -0.1208   0.00000  -0.00107   0.0014   0.0000   0.0000   0.0000   0.0000
  -0.500  -0.0604   0.00000  -0.00106   0.0007   0.0000   0.0000   0.0000   0.0000
   0.000  -0.0000   0.00000  -0.00106   0.0000   0.0000   0.0000   0.0000   0.0000
   0.500   0.0604   0.00000  -0.00106  -0.0007   0.0000   0.0000   0.0000   0.0000
   1.000   0.1208   0.00000  -0.00107  -0.0014   0.0000   0.0000   0.0000   0.0000
   1.500   0.1812   0.00000  -0.00107  -0.0021   0.0000   0.0000   0.0000   0.0000
   2.000   0.2416   0.00000  -0.00107  -0.0028   0.0000   0.0000   0.0000   0.0000
   2.500   0.3019   0.00000  -0.00107  -0.0035   0.0000   0.0000   0.0000   0.0000
   3.000   0.3623   0.00000  -0.00108  -0.0042   0.0000   0.0000   0.0000   0.0000
   3.500   0.4226   0.00000  -0.00108  -0.0049   0.0000   0.0000   0.0000   0.0000
   4.000   0.4829   0.00000  -0.00109  -0.0056   0.0000   0.0000   0.0000   0.0000
   4.500   0.5431   0.00000  -0.00109  -0.0063   0.0000   0.0000   0.0000   0.0000
   5.000   0.6033   0.00000  -0.00110  -0.0070   0.0000   0.0000   0.0000   0.0000
   5.500   0.6634   0.00000  -0.00110  -0.0076   0.0000   0.0000   0.0000   0.0000
   6.000   0.7235   0.00000  -0.00111  -0.0083   0.0000   0.0000   0.0000   0.0000
   6.500   0.7836   0.00000  -0.00112  -0.0090   0.0000   0.0000   0.0000   0.0000
   7.000   0.8436   0.00000  -0.00113  -0.0097   0.0000   0.0000   0.0000   0.0000
   7.500   0.9035   0.00000  -0.00114  -0.0104   0.0000   0.0000   0.0000   0.0000
   8.000   0.9634   0.00000  -0.00115  -0.0110   0.0000   0.0000   0.0000   0.0000
   8.500   1.0231   0.00000  -0.00116  -0.0117   0.0000   0.0000   0.0000   0.0000
   9.000   1.0828   0.00000  -0.00117  -0.0124   0.0000   0.0000   0.0000   0.0000
   9.500   1.1425   0.00000  -0.00118  -0.0130   0.0000   0.0000   0.0000   0.0000
  10.000   1.2020   0.00000  -0.00120  -0.0137   0.0000   0.0000   0.0000   0.0000
