  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0016                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
   6.000   0.7461   0.00000  -0.00153  -0.0123   0.0000   0.0000   0.0000   0.0000
   6.500   0.8080   0.00000  -0.00153  -0.0133   0.0000   0.0000   0.0000   0.0000
   7.000   0.8699   0.00000  -0.00154  -0.0143   0.0000   0.0000   0.0000   0.0000
   7.500   0.9317   0.00000  -0.00155  -0.0153   0.0000   0.0000   0.0000   0.0000
   8.000   0.9934   0.00000  -0.00155  -0.0163   0.0000   0.0000   0.0000   0.0000
   8.500   1.0551   0.00000  -0.00156  -0.0173   0.0000   0.0000   0.0000   0.0000
   9.000   1.1166   0.00000  -0.00157  -0.0182   0.0000   0.0000   0.0000   0.0000
   9.500   1.1781   0.00000  -0.00158  -0.0192   0.0000   0.0000   0.0000   0.0000
  10.000   1.2395   0.00000  -0.00159  -0.0202   0.0000   0.0000   0.0000   0.0000
  10.500   1.3008   0.00000  -0.00159  -0.0212   0.0000   0.0000   0.0000   0.0000
  11.000   1.3620   0.00000  -0.00160  -0.0221   0.0000   0.0000   0.0000   0.0000
  11.500   1.4231   0.00000  -0.00161  -0.0231   0.0000   0.0000   0.0000   0.0000
  12.000   1.4841   0.00000  -0.00162  -0.0240   0.0000   0.0000   0.0000   0.0000
  12.500   1.5450   0.00000  -0.00163  -0.0250   0.0000   0.0000   0.0000   0.0000
  13.000   1.6057   0.00000  -0.00164  -0.0259   0.0000   0.0000   0.0000   0.0000
  13.500   1.6664   0.00000  -0.00166  -0.0268   0.0000   0.0000   0.0000   0.0000
  14.000   1.7269   0.00000  -0.00167  -0.0277   0.0000   0.0000   0.0000   0.0000
  14.500   1.7873   0.00000  -0.00168  -0.0286   0.0000   0.0000   0.0000   0.0000
  15.000   1.8475   0.00000  -0.00169  -0.0295   0.0000   0.0000   0.0000   0.0000
  -5.000  -0.6221   0.00000  -0.00152   0.0103   0.0000   0.0000   0.0000   0.0000
  -4.500  -0.5600   0.00000  -0.00151   0.0092   0.0000   0.0000   0.0000   0.0000
  -4.000  -0.4979   0.00000  -0.00151   0.0082   0.0000   0.0000   0.0000   0.0000
  -3.500  -0.4358   0.00000  -0.00151   0.0072   0.0000   0.0000   0.0000   0.0000
  -3.000  -0.3736   0.00000  -0.00150   0.0062   0.0000   0.0000   0.0000   0.0000
  -2.500  -0.3114   0.00000  -0.00150   0.0051   0.0000   0.0000   0.0000   0.0000
  -2.000  -0.2491   0.00000  -0.00150   0.0041   0.0000   0.0000   0.0000   0.0000
  -1.500  -0.1869   0.00000  -0.00150   0.0031   0.0000   0.0000   0.0000   0.0000
  -1.000  -0.1246   0.00000  -0.00150   0.0021   0.0000   0.0000   0.0000   0.0000
  -0.500  -0.0623   0.00000  -0.00149   0.0010   0.0000   0.0000   0.0000   0.0000
   0.000   0.0000   0.00000  -0.00149  -0.0000   0.0000   0.0000   0.0000   0.0000
   0.500   0.0623   0.00000  -0.00149  -0.0010   0.0000   0.0000   0.0000   0.0000
   1.000   0.1246   0.00000  -0.00150  -0.0021   0.0000   0.0000   0.0000   0.0000
   1.500   0.1869   0.00000  -0.00150  -0.0031   0.0000   0.0000   0.0000   0.0000
   2.000   0.2491   0.00000  -0.00150  -0.0041   0.0000   0.0000   0.0000   0.0000
   2.500   0.3114   0.00000  -0.00150  -0.0051   0.0000   0.0000   0.0000   0.0000
   3.000   0.3736   0.00000  -0.00150  -0.0062   0.0000   0.0000   0.0000   0.0000
   3.500   0.4358   0.00000  -0.00151  -0.0072   0.0000   0.0000   0.0000   0.0000
   4.000   0.4979   0.00000  -0.00151  -0.0082   0.0000   0.0000   0.0000   0.0000
   4.500   0.5600   0.00000  -0.00151  -0.0092   0.0000   0.0000   0.0000   0.0000
   5.000   0.6221   0.00000  -0.00152  -0.0103   0.0000   0.0000   0.0000   0.0000
   5.500   0.6841   0.00000  -0.00152  -0.0113   0.0000   0.0000   0.0000   0.0000
   6.000   0.7461   0.00000  -0.00153  -0.0123   0.0000   0.0000   0.0000   0.0000
   6.500   0.8080   0.00000  -0.00153  -0.0133   0.0000   0.0000   0.0000   0.0000
   7.000   0.8699   0.00000  -0.00154  -0.0143   0.0000   0.0000   0.0000   0.0000
   7.500   0.9317   0.00000  -0.00155  -0.0153   0.0000   0.0000   0.0000   0.0000
   8.000   0.9934   0.00000  -0.00155  -0.0163   0.0000   0.0000   0.0000   0.0000
   8.500   1.0551   0.00000  -0.00156  -0.0173   0.0000   0.0000   0.0000   0.0000
   9.000   1.1166   0.00000  -0.00157  -0.0182   0.0000   0.0000   0.0000   0.0000
   9.500   1.1781   0.00000  -0.00158  -0.0192   0.0000   0.0000   0.0000   0.0000
  10.000   1.2395   0.00000  -0.00159  -0.0202   0.0000   0.0000   0.0000   0.0000
  10.500   1.3008   0.00000  -0.00159  -0.0212   0.0000   0.0000   0.0000   0.0000
  11.000   1.3620   0.00000  -0.00160  -0.0221   0.0000   0.0000   0.0000   0.0000
  11.500   1.4231   0.00000  -0.00161  -0.0231   0.0000   0.0000   0.0000   0.0000
  12.000   1.4841   0.00000  -0.00162  -0.0240   0.0000   0.0000   0.0000   0.0000
  12.500   1.5450   0.00000  -0.00163  -0.0250   0.0000   0.0000   0.0000   0.0000
  13.000   1.6057   0.00000  -0.00164  -0.0259   0.0000   0.0000   0.0000   0.0000
  13.500   1.6664   0.00000  -0.00166  -0.0268   0.0000   0.0000   0.0000   0.0000
  14.000   1.7269   0.00000  -0.00167  -0.0277   0.0000   0.0000   0.0000   0.0000
  14.500   1.7873   0.00000  -0.00168  -0.0286   0.0000   0.0000   0.0000   0.0000
  15.000   1.8475   0.00000  -0.00169  -0.0295   0.0000   0.0000   0.0000   0.0000
